Id,Name,Type_1,Type_2,HP,Attack,Defense,Sp_Attack,Sp_Defense,Speed,Sum_stats,Is_Legendary
1,bulbasaur,grass,poison,45,49,49,65,65,45,318,False
2,ivysaur,grass,poison,60,62,63,80,80,60,405,False
3,venusaur,grass,poison,80,82,83,100,100,80,525,False
4,charmander,fire,,39,52,43,60,50,65,309,False
5,charmeleon,fire,,58,64,58,80,65,80,405,False
6,charizard,fire,flying,78,84,78,109,85,100,534,False
7,squirtle,water,,44,48,65,50,64,43,314,False
8,wartortle,water,,59,63,80,65,80,58,405,False
9,blastoise,water,,79,83,100,85,105,78,530,False
10,caterpie,bug,,45,30,35,20,20,45,195,False
11,metapod,bug,,50,20,55,25,25,30,205,False
12,butterfree,bug,flying,60,45,50,90,80,70,395,False
13,weedle,bug,poison,40,35,30,20,20,50,195,False
14,kakuna,bug,poison,45,25,50,25,25,35,205,False
15,beedrill,bug,poison,65,90,40,45,80,75,395,False
16,pidgey,normal,flying,40,45,40,35,35,56,251,False
17,pidgeotto,normal,flying,63,60,55,50,50,71,349,False
18,pidgeot,normal,flying,83,80,75,70,70,101,479,False
19,rattata,normal,,30,56,35,25,35,72,253,False
20,raticate,normal,,55,81,60,50,70,97,413,False
21,spearow,normal,flying,40,60,30,31,31,70,262,False
22,fearow,normal,flying,65,90,65,61,61,100,442,False
23,ekans,poison,,35,60,44,40,54,55,288,False
24,arbok,poison,,60,95,69,65,79,80,448,False
25,pikachu,electric,,35,55,40,50,50,90,320,False
26,raichu,electric,,60,90,55,90,80,110,485,False
27,sandshrew,ground,,50,75,85,20,30,40,300,False
28,sandslash,ground,,75,100,110,45,55,65,450,False
29,nidoran-f,poison,,55,47,52,40,40,41,275,False
30,nidorina,poison,,70,62,67,55,55,56,365,False
31,nidoqueen,poison,ground,90,92,87,75,85,76,505,False
32,nidoran-m,poison,,46,57,40,40,40,50,273,False
33,nidorino,poison,,61,72,57,55,55,65,365,False
34,nidoking,poison,ground,81,102,77,85,75,85,505,False
35,clefairy,fairy,,70,45,48,60,65,35,323,False
36,clefable,fairy,,95,70,73,95,90,60,483,False
37,vulpix,fire,,38,41,40,50,65,65,299,False
38,ninetales,fire,,73,76,75,81,100,100,505,False
39,jigglypuff,normal,fairy,115,45,20,45,25,20,270,False
40,wigglytuff,normal,fairy,140,70,45,85,50,45,435,False
41,zubat,poison,flying,40,45,35,30,40,55,245,False
42,golbat,poison,flying,75,80,70,65,75,90,455,False
43,oddish,grass,poison,45,50,55,75,65,30,320,False
44,gloom,grass,poison,60,65,70,85,75,40,395,False
45,vileplume,grass,poison,75,80,85,110,90,50,490,False
46,paras,bug,grass,35,70,55,45,55,25,285,False
47,parasect,bug,grass,60,95,80,60,80,30,405,False
48,venonat,bug,poison,60,55,50,40,55,45,305,False
49,venomoth,bug,poison,70,65,60,90,75,90,450,False
50,diglett,ground,,10,55,25,35,45,95,265,False
51,dugtrio,ground,,35,100,50,50,70,120,425,False
52,meowth,normal,,40,45,35,40,40,90,290,False
53,persian,normal,,65,70,60,65,65,115,440,False
54,psyduck,water,,50,52,48,65,50,55,320,False
55,golduck,water,,80,82,78,95,80,85,500,False
56,mankey,fighting,,40,80,35,35,45,70,305,False
57,primeape,fighting,,65,105,60,60,70,95,455,False
58,growlithe,fire,,55,70,45,70,50,60,350,False
59,arcanine,fire,,90,110,80,100,80,95,555,False
60,poliwag,water,,40,50,40,40,40,90,300,False
61,poliwhirl,water,,65,65,65,50,50,90,385,False
62,poliwrath,water,fighting,90,95,95,70,90,70,510,False
63,abra,psychic,,25,20,15,105,55,90,310,False
64,kadabra,psychic,,40,35,30,120,70,105,400,False
65,alakazam,psychic,,55,50,45,135,95,120,500,False
66,machop,fighting,,70,80,50,35,35,35,305,False
67,machoke,fighting,,80,100,70,50,60,45,405,False
68,machamp,fighting,,90,130,80,65,85,55,505,False
69,bellsprout,grass,poison,50,75,35,70,30,40,300,False
70,weepinbell,grass,poison,65,90,50,85,45,55,390,False
71,victreebel,grass,poison,80,105,65,100,70,70,490,False
72,tentacool,water,poison,40,40,35,50,100,70,335,False
73,tentacruel,water,poison,80,70,65,80,120,100,515,False
74,geodude,rock,ground,40,80,100,30,30,20,300,False
75,graveler,rock,ground,55,95,115,45,45,35,390,False
76,golem,rock,ground,80,120,130,55,65,45,495,False
77,ponyta,fire,,50,85,55,65,65,90,410,False
78,rapidash,fire,,65,100,70,80,80,105,500,False
79,slowpoke,water,psychic,90,65,65,40,40,15,315,False
80,slowbro,water,psychic,95,75,110,100,80,30,490,False
81,magnemite,electric,steel,25,35,70,95,55,45,325,False
82,magneton,electric,steel,50,60,95,120,70,70,465,False
83,farfetchd,normal,flying,52,90,55,58,62,60,377,False
84,doduo,normal,flying,35,85,45,35,35,75,310,False
